,rating,text,date
0,6,"Saaho is entertaining. It is a proper Bollywood Masala movie. We all know it is one of the highest-budget Bollywood movies of all time.Aug 15 2019, The Independence Day, was supposed to have 3 blockbuster movies released. Mission Mangal, Batla House and Saaho. However, Saaho postponed their release. The movie went on to be a blunder. Most of them didn't like it. They weren't even sure where it was leading too. There was too much of pace, action. The first half seemed to be perfectly set for a mind-boggling Action Crime movie. It didn't turn out to be so. The second half ruined everything. There were few surprises and Suspense at the end, which not only made no sense, also, were a little too much. Disappointed with the climax as well. Prabhas is a renowned and magnificent actor. His Hindi wasn't upto the mark. Some characters looked complex and confused.","Jan 30, 2022"
1,6,The base story is good. Audience are left in confusion in many scenes. Many Action sequences are illogical. Intermission and climax is good. Good acting by all actors. Boring songs. All villains are great.,"Sep 1, 2019"
2,4,"Looks like the story was inspired from Largo winch movie and director tried to make it more engaging with twists and turns but he failed miserably... there was no proper story , illogical, routine story , unwanted scences etc .. prabhas was good for some extent but remaining cast failed.. bad direction and worst screenplay .. lengthy and no soul in the film .. people were sleeping after interval ..","Sep 1, 2019"
3,1,"Saaho...! There are so many problems with this movie that I don't even know where to start. There were so many times throughout the film where I wanted to laugh at how stupid everything was. That is how hilariously bad this movie is.I don't think there is any point trying to explain the storyline of this movie because it barely exists. The movie thinks it's so clever when it tries to wrap up everything at the end but without any logical sense, it comes across as painfully silly.There were so many things happening but nothing kept me invested or compelled throughout its 3 hour runtime. I really don't know what was going through writer-director Sujeeth's head because he failed to even get the basics right. The dialogues written were just cheesy one-liners that made me want to facepalm every time I heard one. The jokes were nowhere near funny. This movie itself is a giant joke.The writing is vastly incompetent. There barely was any character development from anyone. Shraddha Kapoor's character had some development but it wasn't enough for me to care about her. Prabhas's character unfolded literally at the end of the film but there was so much trash from the previous 2 hours 40 minutes that I just didn't care anymore. The only thought I had was to get up and leave. The gangsters portrayed didn't seem menacing at all because we don't learn much about them. Chunky Panday did feel threatening but he wasn't given anything to work with so he was just wasted.The acting was okay. No one really stood out to me since everyone was wasted potential. I thought the chemistry between Shraddha Kapoor and Prabhas was very unconvincing and dragged the film a lot.I kept on noticing how atrocious the editing was. To me, the background score was immensely obnoxious. This film takes itself so seriously and the loud score makes even more dramatic. The songs didn't do anything for the film's 'story' so in the end they were just unnecessary.Another thought that crossed my mind was ""Where did all of the money go?"". With a budget that high, you at least expect the film to look really good. The special effects are laughably bad. There is a scene involving a snake and the snake looks really fake. Parts of the action scenes seem very unbelievable because of the effects and how illogical they are. The scenery in the songs are nice to look at but they are irrelevant to the actual narrative.Saaho is one of the biggest disappointments of 2019. Pretty much everything in this movie is flawed. You ask for logic and don't get any of that. I just wish they wrote a better story with fleshed out characters so that we have something worth watching. Saaho is all style and no substance.","Aug 30, 2019"
4,2,"Dont believe all the 10 star ratings and reviews!
they are just fans, trying to average up the rating to something less embarrassing!
if the movie was atleast somewhat good, you would've seen 5-8 star ratings too. no there are only 1-3 star and 9-10 star ratings!!
lmao, most of the profiles that gave 10/10 are just 1 week old, they created extra new accounts just to rate 10! omg they're trying so hard to maintain average rating! lolWhat a boring movie!
unnecessary twists, unnecessary sets, unnecessary characters!
i was about to give 1, the final climax fight was ok, so im giving 2!","Sep 8, 2019"
5,,"I have seen several flop or below average films in my life but this movie tops it all. I wanted to get out of the theatre at several instances while watching this movie. Had lot of expectations after seeing the buzz this movie got. Even an average director/writer could have written and directed a film more better compared to this disaster. The actors were good but there was no purpose, drama or any point to the action scenes shown apart from way too many overly done Hero elevation scenes(I sincerely hope Telugu films get past this format). All in all, it's a headache and people should be paid to sit through this entire film. Director should quit, producers should learn their lesson and lead actors, please pick good scripts as the audience come to the theatre looking at you and your faces.","Aug 31, 2019"
6,6,"1) Prabhas Hindi sucks
2) Imaginary UnderWorld sucks
3) Chunkey Pandey is wasted as villain.
4) Songs don't do justice to Prabha's iconic image.The only two thing I found good about the experience of seeing Saaho is actions and cheap tickets for admission.","Aug 30, 2019"
7,2,"Watched it in Hindi, god why didn't they hire the guy who dubbed PRABHAS'S voice in Bahubali, also make a note Prabhas is terrible with his comic timing...
Songs with the most terrible lyrics ever heard and for acting only Neil Nitin Mukesh and Ananya Panday's father looked like into it, storyline was probably written by WWE's PG era writers, the 150 minutes of movie felt like long long time 😴","Aug 30, 2019"
8,9,Good movie with action scenes but songs placement is irrelevant,"Aug 29, 2019"
9,6,"Bad:
Boring 1st half
Very slow and confusing 2nd half
Bad song placements/forced songs
No storyline
Weak screenplayGood:
Chunkey Pandey as a villain
Couple of good twists
Very good interval twist
Best bgm
Very very good climax scene - Seems like watching a hollywood movie","Aug 29, 2019"
